,id,project_code,pq_num,po_so_num,asndn_num,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,product_group,sub_classification,vendor,moleculetest_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_kilograms,freight_cost_usd,line_item_insurance_usd,po_sent_to_vendor_date_year,scheduled_delivery_date_year,delivered_to_client_date_year,delivery_recorded_date_year,pq_first_sent_to_client_date_year,moleculetest_type_processed,cluster_labels,active_ingredients,description_type,manufacturing_location,manufacturers,days_init_client_vendor,days_vendor_deliver_planned,days_vendor_deliver_actual,delivery_delay,recorded_date_lag,days_from__arrival,days_from_vendor_arrival
18,81483,108-VN-T30,FPQ-10286,SCMS-156150,ASN-16914,Vietnam,PMO - US,Direct Drop,EXW,Air,2012-07-25,2012-08-15,2012-11-12,2012-11-12,2012-11-12,ARV,Adult,CIPLA LIMITED,Zidovudine,Generic,300mg,Tablet,60,525,3465.0,6.6,0.11,"Cipla, Goa, India",True,34.0,807.47,4.86,2012.0,2012,2012,2012,2012.0,zidovudine,6,Zidovudine,,"Goa, IN",Cipla,21.0,89.0,89.0,0.0,0.0,110.0,89.0
22,108,104-CI-T01,Pre-PQ Process,SCMS-698,ASN-727,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,,2007-07-13,2007-10-02,2007-10-02,2007-10-02,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Didanosine,Videx,200mg,Tablet,60,5513,140581.5,25.5,0.42,"BMS Meymac, France",True,2126.0,0.0,224.93,2007.0,2007,2007,2007,,didanosine,9,Didanosine,,"Meymac, France",Bristol-Myers Squibb,,81.0,81.0,0.0,0.0,,81.0
33,269,108-VN-T01,Pre-PQ Process,SCMS-14190,ASN-1192,Vietnam,PMO - US,Direct Drop,EXW,Air,,2007-11-19,2008-01-21,2008-01-21,2008-01-21,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,1000,17000.0,17.0,0.57,Gilead(Nycomed) Oranienburg DE,True,76.0,2282.57,27.2,2007.0,2008,2008,2008,,tenofovir disoproxil fumarate,7,Tenofovir Disoproxil Fumarate,,"Oranienburg, DE","Oranienburg, DE",,63.0,63.0,0.0,0.0,,63.0
34,270,108-VN-T01,Pre-PQ Process,SCMS-14200,ASN-1171,Vietnam,PMO - US,Direct Drop,EXW,Air,,2007-11-21,2008-01-21,2008-01-21,2008-01-21,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Zidovudine,Generic,300mg,Tablet,60,400,3352.0,8.38,0.14,"Ranbaxy, Paonta Shahib, India",True,23.0,2149.05,5.36,2007.0,2008,2008,2008,,zidovudine,6,Zidovudine,,"Paonta Sahib, IN",Ranbaxy,,61.0,61.0,0.0,0.0,,61.0
35,284,107-RW-T01,Pre-PQ Process,SCMS-14630,ASN-1253,Rwanda,PMO - US,Direct Drop,EXW,Air,,2007-12-10,2008-01-31,2008-01-31,2008-01-31,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,1500,15.0,0.01,0.0,Inverness Japan,True,99.0,0.75,0.02,2007.0,2008,2008,2008,,hiv lancet safety for hiv test kits 100 pcs,4,HIV,Lancet,JP,Iverness,,52.0,52.0,0.0,0.0,,52.0
36,305,123-NG-T01,Pre-PQ Process,SCMS-15550,ASN-1269,Nigeria,PMO - US,Direct Drop,EXW,Air,,,2008-02-05,2008-02-05,2008-02-05,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,650,6.5,0.01,0.0,Inverness Japan,True,1047.0,5039.030000000001,0.01,,2008,2008,2008,,hiv lancet safety for hiv test kits 100 pcs,4,HIV,Lancet,JP,Iverness,,,,0.0,0.0,,
40,392,104-CI-T01,Pre-PQ Process,SCMS-18310,ASN-3435,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,2008-03-03,2009-03-19,2009-03-19,2009-03-19,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2,  3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,659,13180.0,20.0,0.8,"Standard Diagnostics, Korea",True,206.0,2656.12,25.83,2008.0,2009,2009,2009,,hiv 1 2 bioline 3 0 kit lancets capillary pipets alcohol swabs included,4,HIV 1/2,3.0 Kit,KR,Standard Diagnostics,,381.0,381.0,0.0,0.0,,381.0
41,398,102-GY-T01,Pre-PQ Process,SCMS-18480,ASN-1502,Guyana,PMO - US,Direct Drop,EXW,Air,,2008-02-28,2008-04-09,2008-04-01,2008-04-01,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,240,2.4,0.01,0.0,Inverness Japan,True,1047.0,5039.030000000001,0.0,2008.0,2008,2008,2008,,hiv lancet safety for hiv test kits 100 pcs,4,HIV,Lancet,JP,Iverness,,41.0,33.0,-8.0,0.0,,33.0
42,399,102-GY-T01,Pre-PQ Process,SCMS-18500,ASN-2117,Guyana,PMO - US,Direct Drop,EXW,Air,,2008-02-28,2008-07-28,2008-07-28,2008-07-28,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,213,2.13,0.01,0.0,Inverness Japan,True,14.0,360.0,0.0,2008.0,2008,2008,2008,,hiv lancet safety for hiv test kits 100 pcs,4,HIV,Lancet,JP,Iverness,,151.0,151.0,0.0,0.0,,151.0
47,420,108-VN-T01,Pre-PQ Process,SCMS-19490,ASN-1753,Vietnam,PMO - US,Direct Drop,EXW,Air,,2008-03-31,2008-06-03,2008-06-03,2008-06-03,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Efavirenz,Generic,600mg,Tablet,30,8400,96432.0,11.48,0.38,Mylan (formerly Matrix) Nashik,True,654.0,4051.34,154.29,2008.0,2008,2008,2008,,efavirenz,2,Efavirenz,,"Nashik, IN",Mylan,,64.0,64.0,0.0,0.0,,64.0
50,438,108-VN-T01,Pre-PQ Process,SCMS-20310,ASN-1923,Vietnam,PMO - US,Direct Drop,CIP,Air,,2008-03-31,2008-07-12,2008-07-12,2008-07-12,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Didanosine,Videx,25mg,Chewable/dispersible tablet,60,400,2800.0,7.0,0.12,"BMS Meymac, France",True,81.0,2211.05,4.48,2008.0,2008,2008,2008,,didanosine,9,Didanosine,,"Meymac, France",Bristol-Myers Squibb,,103.0,103.0,0.0,0.0,,103.0
51,459,116-ZA-T01,Pre-PQ Process,SCMS-21460,ASN-1667,South Africa,PMO - US,Direct Drop,DDP,,,2008-04-04,2008-04-25,2008-04-07,2008-04-07,ARV,Pediatric,S. BUYS WHOLESALER,Didanosine,Videx,25mg,Chewable/dispersible tablet,60,6,77.1,12.85,0.21,"BMS Meymac, France",True,1047.0,0.0,0.12,2008.0,2008,2008,2008,,didanosine,9,Didanosine,,"Meymac, France",Bristol-Myers Squibb,,21.0,3.0,-18.0,0.0,,3.0
53,465,102-NG-T01,Pre-PQ Process,SCMS-21540,ASN-2011,Nigeria,PMO - US,Direct Drop,EXW,Air,,,2008-07-09,2008-07-04,2008-07-04,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,5498,54.98,0.01,0.0,Inverness Japan,True,1047.0,5039.030000000001,0.09,,2008,2008,2008,,hiv lancet safety for hiv test kits 100 pcs,4,HIV,Lancet,JP,Iverness,,,,-5.0,0.0,,
55,530,108-VN-T01,Pre-PQ Process,SCMS-23450,ASN-2336,Vietnam,PMO - US,Direct Drop,EXW,Air,,2008-05-14,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,1344,18359.04,13.66,0.46,Mylan (formerly Matrix) Nashik,True,1537.0,13507.92,29.37,2008.0,2008,2008,2008,,tenofovir disoproxil fumarate,7,Tenofovir Disoproxil Fumarate,,"Nashik, IN",Mylan,,128.0,128.0,0.0,0.0,,128.0
56,531,116-ZA-T01,Pre-PQ Process,SCMS-23500,ASN-2783,South Africa,PMO - US,Direct Drop,DDP,Truck,,,2008-08-20,2008-08-20,2008-08-20,ARV,Adult,S. BUYS WHOLESALER,Stavudine,Zerit,20mg,Capsule,60,20,103.4,5.17,0.09,"BMS Meymac, France",True,1047.0,0.0,0.2,,2008,2008,2008,,stavudine,9,Stavudine,,"Meymac, France",Bristol-Myers Squibb,,,,0.0,0.0,,
57,532,116-ZA-T01,Pre-PQ Process,SCMS-23500,ASN-2293,South Africa,PMO - US,Direct Drop,DDP,Truck,,,2008-08-20,2008-05-08,2008-05-08,ARV,Adult,S. BUYS WHOLESALER,Didanosine EC,Videx EC,250mg,Delayed-release capsules - blister,30,100,1906.0,19.06,0.64,"BMS Meymac, France",True,1047.0,0.0,3.05,,2008,2008,2008,,didanosine ec,9,Didanosine EC,,"Meymac, France",Bristol-Myers Squibb,,,,-104.0,0.0,,
59,535,109-TZ-T01,Pre-PQ Process,SCMS-23610,ASN-2167,Tanzania,PMO - US,Direct Drop,CIP,Air,,2008-05-15,2008-09-02,2008-09-02,2008-09-02,ARV,Adult,BRISTOL-MYERS SQUIBB,Didanosine EC,Videx EC,400mg,Delayed-release capsules - blister,30,2597,61470.99,23.67,0.79,"BMS Meymac, France",True,117.0,645.1,98.35,2008.0,2008,2008,2008,,didanosine ec,9,Didanosine EC,,"Meymac, France",Bristol-Myers Squibb,,110.0,110.0,0.0,0.0,,110.0
62,598,116-ZA-T01,Pre-PQ Process,SCMS-25540,ASN-2295,South Africa,PMO - US,Direct Drop,DDP,Truck,,,2008-06-12,2008-06-09,2008-06-09,ARV,Adult,S. BUYS WHOLESALER,Abacavir,Ziagen,300mg,Tablet - blister,60,30,1049.4,34.98,0.58,GSK Ware (UK),True,1047.0,0.0,1.68,,2008,2008,2008,,abacavir,5,Abacavir,,"Ware, Hertfordshire, GB",GSK,,,,-3.0,0.0,,
63,610,108-VN-T01,Pre-PQ Process,SCMS-26180,ASN-2274,Vietnam,PMO - US,Direct Drop,EXW,Air,,2008-07-01,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,Aurobindo Pharma Limited,Lamivudine,Generic,150mg,Tablet,60,38640,92736.0,2.4,0.04,"Aurobindo Unit III, India",True,2719.0,18614.72,148.38,2008.0,2008,2008,2008,,lamivudine,0,Lamivudine,,"Telangana, IN",Aurobindo,,80.0,80.0,0.0,0.0,,80.0
65,637,108-VN-T01,Pre-PQ Process,SCMS-26200,ASN-2563,Vietnam,PMO - US,Direct Drop,EXW,Air,,2008-07-03,2008-10-08,2008-10-08,2008-10-08,ARV,Adult,Aurobindo Pharma Limited,Stavudine,Generic,30mg,Capsule,60,42000,60900.0,1.45,0.02,"Aurobindo Unit III, India",True,2600.0,10179.16,97.44,2008.0,2008,2008,2008,,stavudine,9,Stavudine,,"Telangana, IN",Aurobindo,,97.0,97.0,0.0,0.0,,97.0
72,719,104-CI-T01,Pre-PQ Process,SCMS-29340,ASN-2921,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,2008-09-03,2009-01-23,2009-01-23,2009-01-23,ACT,ACT,IDA FOUNDATION,Artesunate+Amodiaquine,Generic,50+153mg,Tablet - FDC + co-blister,12,25000,9750.0,0.39,0.03,Ipca Dadra/Nagar Haveli IN,True,1708.0,12830.91,19.11,2008.0,2009,2009,2009,,artesunate amodiaquine,9,Artesunate+Amodiaquine,,"Dadra and Nagar Haveli, IN",Ipca,,142.0,142.0,0.0,0.0,,142.0
76,797,110-ZM-T01,Pre-PQ Process,SCMS-31380,ASN-3172,Zambia,PMO - US,Direct Drop,EXW,Air,,2008-10-02,2009-01-23,2009-01-23,2009-01-23,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2,  3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,319,6380.0,20.0,0.8,"Standard Diagnostics, Korea",True,100.0,1122.24,12.5,2008.0,2009,2009,2009,,hiv 1 2 bioline 3 0 kit lancets capillary pipets alcohol swabs included,4,HIV 1/2,3.0 Kit,KR,Standard Diagnostics,,113.0,113.0,0.0,0.0,,113.0
77,835,116-ZA-T01,Pre-PQ Process,SCMS-33320,ASN-3553,South Africa,PMO - US,Direct Drop,DDP,Truck,,,2009-05-17,2008-10-09,2008-10-09,ARV,Adult,S. BUYS WHOLESALER,Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,80,1830.4,22.88,0.76,"Aspen-OSD, Port Elizabeth, SA",True,1047.0,0.0,3.59,,2009,2008,2008,,tenofovir disoproxil fumarate,7,Tenofovir Disoproxil Fumarate,,"Port Elizabeth, SA",Aspen-OSD,,,,-220.0,0.0,,
78,836,116-ZA-T01,Pre-PQ Process,SCMS-33320,ASN-3892,South Africa,PMO - US,Direct Drop,DDP,Truck,,,2009-05-17,2009-05-17,2009-05-17,ARV,Adult,S. BUYS WHOLESALER,Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,120,2745.6,22.88,0.76,"Aspen-OSD, Port Elizabeth, SA",True,1047.0,0.0,5.38,,2009,2009,2009,,tenofovir disoproxil fumarate,7,Tenofovir Disoproxil Fumarate,,"Port Elizabeth, SA",Aspen-OSD,,,,0.0,0.0,,
80,838,116-ZA-T01,Pre-PQ Process,SCMS-33320,ASN-3553,South Africa,PMO - US,Direct Drop,DDP,Truck,,,2009-05-17,2008-10-09,2008-10-09,ARV,Pediatric,S. BUYS WHOLESALER,Didanosine,Videx,100mg,Chewable/dispersible tablet,60,7,91.35,13.05,0.22,"BMS Meymac, France",False,1047.0,0.0,0.18,,2009,2008,2008,,didanosine,9,Didanosine,,"Meymac, France",Bristol-Myers Squibb,,,,-220.0,0.0,,
81,2947,108-VN-T01,Pre-PQ Process,SCMS-14930,ASN-1231,Vietnam,PMO - US,Direct Drop,EXW,Air,,2007-12-05,2008-01-22,2008-01-22,2008-01-22,ARV,Adult,Aurobindo Pharma Limited,Stavudine,Generic,15mg,Capsule,60,400,600.0,1.5,0.02,"Aurobindo Unit III, India",True,83.0,2426.05,0.96,2007.0,2008,2008,2008,,stavudine,9,Stavudine,,"Telangana, IN",Aurobindo,,48.0,48.0,0.0,0.0,,48.0
85,914,104-CI-T01,Pre-PQ Process,SCMS-35790,ASN-3242,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,,2008-12-19,2009-03-02,2009-03-02,2009-03-02,ANTM,Malaria,IDA FOUNDATION,Quinine (as dihydrochloride),Generic,600mg/2ml,Injection,100,140,2731.4,19.51,0.2,Gland Pharma Ltd Pally Factory,True,5209.0,25405.22,5.35,2008.0,2009,2009,2009,,quinine as dihydrochloride,9,Quinine (as dihydrochloride),,IN,Gland Pharmaceuticals,,73.0,73.0,0.0,0.0,,73.0
87,960,108-VN-T01,Pre-PQ Process,SCMS-37170,ASN-3562,Vietnam,PMO - US,Direct Drop,EXW,Air,,2009-01-16,2009-04-10,2009-04-10,2009-04-10,ARV,Adult,Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,5964,51350.04,8.61,0.14,"Aurobindo Unit III, India",True,3509.0,12835.2,100.65,2009.0,2009,2009,2009,,lamivudine zidovudine,6,Lamivudine/Zidovudine,,"Telangana, IN",Aurobindo,,84.0,84.0,0.0,0.0,,84.0
88,961,108-VN-T01,Pre-PQ Process,SCMS-37170,ASN-3562,Vietnam,PMO - US,Direct Drop,EXW,Air,,2009-01-16,2009-04-10,2009-04-10,2009-04-10,ARV,Adult,Aurobindo Pharma Limited,Lamivudine,Generic,150mg,Tablet,60,21000,50400.0,2.4,0.04,"Aurobindo Unit III, India",False,1047.0,12835.2,98.78,2009.0,2009,2009,2009,,lamivudine,0,Lamivudine,,"Telangana, IN",Aurobindo,,84.0,84.0,0.0,0.0,,84.0
89,962,108-VN-T01,Pre-PQ Process,SCMS-37180,ASN-3521,Vietnam,PMO - US,Direct Drop,EXW,Air,,2009-01-16,2009-03-23,2009-03-23,2009-03-23,ARV,Adult,CIPLA LIMITED,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,10560,72864.0,6.9,0.12,"Cipla, Goa, India",True,924.0,4225.93,142.81,2009.0,2009,2009,2009,,lamivudine nevirapine stavudine,9,Lamivudine/Nevirapine/Stavudine,,"Goa, IN",Cipla,,66.0,66.0,0.0,0.0,,66.0
90,979,108-VN-T01,Pre-PQ Process,SCMS-31721,ASN-3454,Vietnam,PMO - US,Direct Drop,EXW,Air,,2008-10-21,2009-03-16,2009-03-16,2009-03-16,ARV,Adult,Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,2352,20250.72,8.61,0.14,"Aurobindo Unit III, India",True,211.0,892.5,39.69,2008.0,2009,2009,2009,,lamivudine zidovudine,6,Lamivudine/Zidovudine,,"Telangana, IN",Aurobindo,,146.0,146.0,0.0,0.0,,146.0
92,986,109-TZ-T01,Pre-PQ Process,SCMS-38380,ASN-3627,Tanzania,PMO - US,Direct Drop,FCA,Air,,2009-02-05,2009-05-04,2009-05-04,2009-05-04,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,2094,21526.32,10.28,0.17,ABBVIE Ludwigshafen Germany,True,237.0,0.0,42.19,2009.0,2009,2009,2009,,lopinavir ritonavir,8,Lopinavir/Ritonavir,,"Ludwigshafen, DE",Abbvie,,88.0,88.0,0.0,0.0,,88.0
94,1037,123-NG-T01,Pre-PQ Process,SCMS-39640,ASN-4747,Nigeria,PMO - US,Direct Drop,CIP,Air,,2009-03-04,2009-09-30,2009-09-30,2009-09-30,ARV,Adult,BRISTOL-MYERS SQUIBB,Didanosine EC,Videx EC,400mg,Delayed-release capsules - blister,30,200,4734.0,23.67,0.79,"BMS Meymac, France",True,11.0,463.0,9.28,2009.0,2009,2009,2009,,didanosine ec,9,Didanosine EC,,"Meymac, France",Bristol-Myers Squibb,,210.0,210.0,0.0,0.0,,210.0
95,1046,106-HT-T01,Pre-PQ Process,SCMS-40000,ASN-3675,Haiti,PMO - US,Direct Drop,CIP,Air,,2009-03-06,2009-03-31,2009-03-31,2009-03-31,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Didanosine,Videx,50mg,Chewable/dispersible tablet,60,80,760.0,9.5,0.16,"BMS Meymac, France",True,43.0,260.0,1.49,2009.0,2009,2009,2009,,didanosine,9,Didanosine,,"Meymac, France",Bristol-Myers Squibb,,25.0,25.0,0.0,0.0,,25.0
97,1048,106-HT-T01,Pre-PQ Process,SCMS-40030,ASN-3750,Haiti,PMO - US,Direct Drop,FCA,Air,,2009-03-06,2009-04-15,2009-04-15,2009-04-15,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,46,472.88,10.28,0.17,ABBVIE Ludwigshafen Germany,True,10.0,893.22,0.93,2009.0,2009,2009,2009,,lopinavir ritonavir,8,Lopinavir/Ritonavir,,"Ludwigshafen, DE",Abbvie,,40.0,40.0,0.0,0.0,,40.0
98,1063,116-ZA-T01,Pre-PQ Process,SCMS-40810,ASN-3634,South Africa,PMO - US,Direct Drop,DDP,Air,,,2009-03-31,2008-12-02,2008-12-02,ARV,Adult,S. BUYS WHOLESALER,Efavirenz,Generic,600mg,Tablet,30,3025,47522.75,15.71,0.52,"Aurobindo Unit III, India",True,1047.0,0.0,93.14,,2009,2008,2008,,efavirenz,2,Efavirenz,,"Telangana, IN",Aurobindo,,,,-119.0,0.0,,
99,1065,116-ZA-T01,Pre-PQ Process,SCMS-41040,ASN-3623,South Africa,PMO - US,Direct Drop,DDP,Air,,,2009-04-07,2008-12-03,2008-12-03,ARV,Adult,S. BUYS WHOLESALER,Efavirenz,Generic,600mg,Tablet,30,3500,49840.0,14.24,0.47,"Cipla, Goa, India",True,1047.0,0.0,97.69,,2009,2008,2008,,efavirenz,2,Efavirenz,,"Goa, IN",Cipla,,,,-125.0,0.0,,
103,1070,116-ZA-T01,Pre-PQ Process,SCMS-41140,ASN-3752,South Africa,PMO - US,Direct Drop,DDP,Air,,,2009-03-31,2008-11-21,2008-11-21,ARV,Adult,S. BUYS WHOLESALER,Stavudine,Generic,30mg,Capsule,60,1200,3384.0,2.82,0.05,"Aurobindo Unit III, India",True,1047.0,0.0,6.63,,2009,2008,2008,,stavudine,9,Stavudine,,"Telangana, IN",Aurobindo,,,,-130.0,0.0,,
105,1078,116-ZA-T01,Pre-PQ Process,SCMS-41460,ASN-4502,South Africa,PMO - US,Direct Drop,DDP,Truck,,2009-03-18,2009-06-25,2009-06-05,2009-06-05,ARV,Pediatric,S. BUYS WHOLESALER,Efavirenz,Generic,50mg,Capsule,30,5300,16642.0,3.14,0.1,"Aurobindo Unit III, India",True,1047.0,0.0,32.62,2009.0,2009,2009,2009,,efavirenz,2,Efavirenz,,"Telangana, IN",Aurobindo,,99.0,79.0,-20.0,0.0,,79.0
